DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1943-10-15 09:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3256_output_1943-10-15,ARADOAC PLANT,ANKLAM,20,164.5,137.5,83.58662613981764,27.0,16.41337386018237
1944-04-01 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3214_output_1944-04-01,Aircraft Factory,Milan,58,163.5,163.5,100.0,0.0,0.0
1942-12-20 12:45:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3243_output_1942-12-20,A C REPAIR BLDG,ROMILLY SUR SEINE,88,163.4,152.0,93.02325581395348,11.4,6.976744186046512
1944-07-19 09:53:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3261_output_1944-07-19,ME AC Factory,Augsburg,72,162.9,120.0,73.66482504604052,42.9,26.335174953959484
1945-03-13 10:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3303_output_1945-03-13,AERO ENG PISTON,FRANKFURT AM MAIN,50,162.0,41.0,25.308641975308642,121.0,74.69135802469135
1944-08-24 14:50:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3376_output_1944-08-24,Marienehe A C Assembly,Rostock,68,162.0,144.0,88.88888888888889,18.0,11.11111111111111
1945-03-08 14:35:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3303_output_1945-03-08,AERO ENG PISTON,FRANKFURT AM MAIN,90,161.5,81.0,50.15479876160991,80.5,49.84520123839009
1945-04-10 15:17:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3364_output_1945-04-10,Aircraft Factory,Oranienburg,94,159.375,132.375,83.05882352941177,27.0,16.941176470588236
1944-09-10 11:39:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3384_output_1944-09-10,Daimler Benz,Sindelfingen,40,155.0,117.0,75.48387096774194,38.0,24.516129032258064
1945-02-25 10:41:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3306_output_1945-02-25,MAYBACH ENG WORKS,FRIEDRICHSHAFEN,51,151.5,75.0,49.504950495049506,76.5,50.495049504950494
1944-02-03 11:16:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3283_output_1944-02-03,C FACTORY,BRUNSWICK,394,150.0,127.0,84.66666666666667,23.0,15.333333333333332
1945-08-25 11:10:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3306_output_1945-08-25,MAYBACH ENG WORKS,FRIEDRICHSHAFEN,2200,143.6,65.6,45.682451253481894,78.0,54.317548746518106
1944-04-12 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3348_output_1944-04-12,FOCKE WULF A C FACTORY,MARIENBURG,2,142.4,142.0,99.7191011235955,0.4,0.2808988764044944
1944-08-26 09:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3345_output_1944-08-26,A C FACTORY,LUBECK,25,142.0,84.0,59.154929577464785,58.0,40.845070422535215
1944-05-30 11:09:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3294_output_1944-05-30,Junkers Works,Dessau,55,139.0,99.0,71.22302158273382,40.0,28.776978417266186
1944-02-25 14:14:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3261_output_1944-02-25,ME AC Factory,Augsburg,115,137.4,116.4,84.71615720524017,21.0,15.283842794759824
1944-08-16 13:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-08-16,Werk I & II AC FACTORY,WIENER NEUSTADT,90,136.05,135.0,99.2282249173098,1.05,0.7717750826901874
1944-08-23 13:05:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3166_output_1944-08-23,WNAC ENGINE PLANT,VIENNA,46,135.5,0.0,0.0,135.5,100.0
1944-04-10 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3182_output_1944-04-10,VILVORDE FCTY,BRUSSELS,117,132.0,112.0,84.84848484848484,20.0,15.151515151515152
